,0
MoranAuto_CIDH920105_1,0.0
MoranAuto_CIDH920105_2,0.0
MoranAuto_CIDH920105_3,0.0
MoranAuto_CIDH920105_4,0.0
MoranAuto_CIDH920105_5,0.0
MoranAuto_CIDH920105_6,0.0
MoranAuto_CIDH920105_7,0.0
MoranAuto_CIDH920105_8,0.0
MoranAuto_CIDH920105_9,0.0
MoranAuto_CIDH920105_10,0.0
MoranAuto_CIDH920105_11,0.0
MoranAuto_CIDH920105_12,0.0
MoranAuto_CIDH920105_13,0.0
MoranAuto_CIDH920105_14,0.0
MoranAuto_CIDH920105_15,0.0
MoranAuto_CIDH920105_16,0.0
MoranAuto_CIDH920105_17,0.0
MoranAuto_CIDH920105_18,0.0
MoranAuto_CIDH920105_19,0.0
MoranAuto_CIDH920105_20,0.0
MoranAuto_CIDH920105_21,0.0
MoranAuto_CIDH920105_22,0.0
MoranAuto_CIDH920105_23,0.0
MoranAuto_CIDH920105_24,0.0
MoranAuto_CIDH920105_25,0.0
MoranAuto_CIDH920105_26,0.0
MoranAuto_CIDH920105_27,0.0
MoranAuto_CIDH920105_28,0.0
MoranAuto_CIDH920105_29,0.0
MoranAuto_CIDH920105_30,0.0
MoranAuto_BHAR880101_1,0.0
MoranAuto_BHAR880101_2,0.0
MoranAuto_BHAR880101_3,0.0
MoranAuto_BHAR880101_4,0.0
MoranAuto_BHAR880101_5,0.0
MoranAuto_BHAR880101_6,0.0
MoranAuto_BHAR880101_7,0.0
MoranAuto_BHAR880101_8,0.0
MoranAuto_BHAR880101_9,0.0
MoranAuto_BHAR880101_10,0.0
MoranAuto_BHAR880101_11,0.0
MoranAuto_BHAR880101_12,0.0
MoranAuto_BHAR880101_13,0.0
MoranAuto_BHAR880101_14,0.0
MoranAuto_BHAR880101_15,0.0
MoranAuto_BHAR880101_16,0.0
MoranAuto_BHAR880101_17,0.0
MoranAuto_BHAR880101_18,0.0
MoranAuto_BHAR880101_19,0.0
MoranAuto_BHAR880101_20,0.0
MoranAuto_BHAR880101_21,0.0
MoranAuto_BHAR880101_22,0.0
MoranAuto_BHAR880101_23,0.0
MoranAuto_BHAR880101_24,0.0
MoranAuto_BHAR880101_25,0.0
MoranAuto_BHAR880101_26,0.0
MoranAuto_BHAR880101_27,0.0
MoranAuto_BHAR880101_28,0.0
MoranAuto_BHAR880101_29,0.0
MoranAuto_BHAR880101_30,0.0
MoranAuto_CHAM820101_1,0.0
MoranAuto_CHAM820101_2,0.0
MoranAuto_CHAM820101_3,0.0
MoranAuto_CHAM820101_4,0.0
MoranAuto_CHAM820101_5,0.0
MoranAuto_CHAM820101_6,0.0
MoranAuto_CHAM820101_7,0.0
MoranAuto_CHAM820101_8,0.0
MoranAuto_CHAM820101_9,0.0
MoranAuto_CHAM820101_10,0.0
MoranAuto_CHAM820101_11,0.0
MoranAuto_CHAM820101_12,0.0
MoranAuto_CHAM820101_13,0.0
MoranAuto_CHAM820101_14,0.0
MoranAuto_CHAM820101_15,0.0
MoranAuto_CHAM820101_16,0.0
MoranAuto_CHAM820101_17,0.0
MoranAuto_CHAM820101_18,0.0
MoranAuto_CHAM820101_19,0.0
MoranAuto_CHAM820101_20,0.0
MoranAuto_CHAM820101_21,0.0
MoranAuto_CHAM820101_22,0.0
MoranAuto_CHAM820101_23,0.0
MoranAuto_CHAM820101_24,0.0
MoranAuto_CHAM820101_25,0.0
MoranAuto_CHAM820101_26,0.0
MoranAuto_CHAM820101_27,0.0
MoranAuto_CHAM820101_28,0.0
MoranAuto_CHAM820101_29,0.0
MoranAuto_CHAM820101_30,0.0
MoranAuto_CHAM820102_1,0.0
MoranAuto_CHAM820102_2,0.0
MoranAuto_CHAM820102_3,0.0
MoranAuto_CHAM820102_4,0.0
MoranAuto_CHAM820102_5,0.0
MoranAuto_CHAM820102_6,0.0
MoranAuto_CHAM820102_7,0.0
MoranAuto_CHAM820102_8,0.0
MoranAuto_CHAM820102_9,0.0
MoranAuto_CHAM820102_10,0.0
MoranAuto_CHAM820102_11,0.0
MoranAuto_CHAM820102_12,0.0
MoranAuto_CHAM820102_13,0.0
MoranAuto_CHAM820102_14,0.0
MoranAuto_CHAM820102_15,0.0
MoranAuto_CHAM820102_16,0.0
MoranAuto_CHAM820102_17,0.0
MoranAuto_CHAM820102_18,0.0
MoranAuto_CHAM820102_19,0.0
MoranAuto_CHAM820102_20,0.0
MoranAuto_CHAM820102_21,0.0
MoranAuto_CHAM820102_22,0.0
MoranAuto_CHAM820102_23,0.0
MoranAuto_CHAM820102_24,0.0
MoranAuto_CHAM820102_25,0.0
MoranAuto_CHAM820102_26,0.0
MoranAuto_CHAM820102_27,0.0
MoranAuto_CHAM820102_28,0.0
MoranAuto_CHAM820102_29,0.0
MoranAuto_CHAM820102_30,0.0
MoranAuto_CHOC760101_1,0.0
MoranAuto_CHOC760101_2,0.0
MoranAuto_CHOC760101_3,0.0
MoranAuto_CHOC760101_4,0.0
MoranAuto_CHOC760101_5,0.0
MoranAuto_CHOC760101_6,0.0
MoranAuto_CHOC760101_7,0.0
MoranAuto_CHOC760101_8,0.0
MoranAuto_CHOC760101_9,0.0
MoranAuto_CHOC760101_10,0.0
MoranAuto_CHOC760101_11,0.0
MoranAuto_CHOC760101_12,0.0
MoranAuto_CHOC760101_13,0.0
MoranAuto_CHOC760101_14,0.0
MoranAuto_CHOC760101_15,0.0
MoranAuto_CHOC760101_16,0.0
MoranAuto_CHOC760101_17,0.0
MoranAuto_CHOC760101_18,0.0
MoranAuto_CHOC760101_19,0.0
MoranAuto_CHOC760101_20,0.0
MoranAuto_CHOC760101_21,0.0
MoranAuto_CHOC760101_22,0.0
MoranAuto_CHOC760101_23,0.0
MoranAuto_CHOC760101_24,0.0
MoranAuto_CHOC760101_25,0.0
MoranAuto_CHOC760101_26,0.0
MoranAuto_CHOC760101_27,0.0
MoranAuto_CHOC760101_28,0.0
MoranAuto_CHOC760101_29,0.0
MoranAuto_CHOC760101_30,0.0
MoranAuto_BIGC670101_1,0.0
MoranAuto_BIGC670101_2,0.0
MoranAuto_BIGC670101_3,0.0
MoranAuto_BIGC670101_4,0.0
MoranAuto_BIGC670101_5,0.0
MoranAuto_BIGC670101_6,0.0
MoranAuto_BIGC670101_7,0.0
MoranAuto_BIGC670101_8,0.0
MoranAuto_BIGC670101_9,0.0
MoranAuto_BIGC670101_10,0.0
MoranAuto_BIGC670101_11,0.0
MoranAuto_BIGC670101_12,0.0
MoranAuto_BIGC670101_13,0.0
MoranAuto_BIGC670101_14,0.0
MoranAuto_BIGC670101_15,0.0
MoranAuto_BIGC670101_16,0.0
MoranAuto_BIGC670101_17,0.0
MoranAuto_BIGC670101_18,0.0
MoranAuto_BIGC670101_19,0.0
MoranAuto_BIGC670101_20,0.0
MoranAuto_BIGC670101_21,0.0
MoranAuto_BIGC670101_22,0.0
MoranAuto_BIGC670101_23,0.0
MoranAuto_BIGC670101_24,0.0
MoranAuto_BIGC670101_25,0.0
MoranAuto_BIGC670101_26,0.0
MoranAuto_BIGC670101_27,0.0
MoranAuto_BIGC670101_28,0.0
MoranAuto_BIGC670101_29,0.0
MoranAuto_BIGC670101_30,0.0
MoranAuto_CHAM810101_1,0.0
MoranAuto_CHAM810101_2,0.0
MoranAuto_CHAM810101_3,0.0
MoranAuto_CHAM810101_4,0.0
MoranAuto_CHAM810101_5,0.0
MoranAuto_CHAM810101_6,0.0
MoranAuto_CHAM810101_7,0.0
MoranAuto_CHAM810101_8,0.0
MoranAuto_CHAM810101_9,0.0
MoranAuto_CHAM810101_10,0.0
MoranAuto_CHAM810101_11,0.0
MoranAuto_CHAM810101_12,0.0
MoranAuto_CHAM810101_13,0.0
MoranAuto_CHAM810101_14,0.0
MoranAuto_CHAM810101_15,0.0
MoranAuto_CHAM810101_16,0.0
MoranAuto_CHAM810101_17,0.0
MoranAuto_CHAM810101_18,0.0
MoranAuto_CHAM810101_19,0.0
MoranAuto_CHAM810101_20,0.0
MoranAuto_CHAM810101_21,0.0
MoranAuto_CHAM810101_22,0.0
MoranAuto_CHAM810101_23,0.0
MoranAuto_CHAM810101_24,0.0
MoranAuto_CHAM810101_25,0.0
MoranAuto_CHAM810101_26,0.0
MoranAuto_CHAM810101_27,0.0
MoranAuto_CHAM810101_28,0.0
MoranAuto_CHAM810101_29,0.0
MoranAuto_CHAM810101_30,0.0
MoranAuto_DAYM780201_1,0.0
MoranAuto_DAYM780201_2,0.0
MoranAuto_DAYM780201_3,0.0
MoranAuto_DAYM780201_4,0.0
MoranAuto_DAYM780201_5,0.0
MoranAuto_DAYM780201_6,0.0
MoranAuto_DAYM780201_7,0.0
MoranAuto_DAYM780201_8,0.0
MoranAuto_DAYM780201_9,0.0
MoranAuto_DAYM780201_10,0.0
MoranAuto_DAYM780201_11,0.0
MoranAuto_DAYM780201_12,0.0
MoranAuto_DAYM780201_13,0.0
MoranAuto_DAYM780201_14,0.0
MoranAuto_DAYM780201_15,0.0
MoranAuto_DAYM780201_16,0.0
MoranAuto_DAYM780201_17,0.0
MoranAuto_DAYM780201_18,0.0
MoranAuto_DAYM780201_19,0.0
MoranAuto_DAYM780201_20,0.0
MoranAuto_DAYM780201_21,0.0
MoranAuto_DAYM780201_22,0.0
MoranAuto_DAYM780201_23,0.0
MoranAuto_DAYM780201_24,0.0
MoranAuto_DAYM780201_25,0.0
MoranAuto_DAYM780201_26,0.0
MoranAuto_DAYM780201_27,0.0
MoranAuto_DAYM780201_28,0.0
MoranAuto_DAYM780201_29,0.0
MoranAuto_DAYM780201_30,0.0
